repo,commit_hash
aws/amazon-braket-sdk-python,b38f0c588aacc60fcc88908835a975032d796c6c
aws/amazon-braket-sdk-python,9f99e29b99aefbc1d7c2b69ed9c67ba7c39c2933
aws/amazon-braket-sdk-python,4c7c3b28e5a17b8f0cddf94377b7734fcbe2ebfc
aws/amazon-braket-sdk-python,30dcec09ee6aa70d0aac30917f132dbd38bf7b6a
aws/amazon-braket-sdk-python,3dcd965d17fae52218ee513a2b9638a4b043a444
dwavesystems/dwave-system,91a5b5ccd746906b701fe22adca0bd5716f79a47
dwavesystems/dwave-system,ee07960385d9ccb69de134767400220b252cde9a
PennyLaneAI/pennylane,105bc044a0a35684ec961310aca212d49ba5c451
dwavesystems/dwave-system,d043ddc834f99e7c5f3f5b82f1836a08ed3de2db
dwavesystems/dwave-system,e3a8da83d8c312316c4b9d17666aa93a144457d9
dwavesystems/dwave-system,f6c81c99d0f6e870f2a6d40c4db64520757d04bb
dwavesystems/dwave-system,7c5b381a08e2b09f7d71307b9d55ba96b6a63bde
dwavesystems/dwave-system,fd1d5936ffa5ae3fa2539e619202c3f0e07fd64d
dwavesystems/dwave-system,e36e0baf28c82594b88607680931f006ef624886
dwavesystems/dwave-system,8731624ef7b8365ccca17204db18779f125609a3
Qiskit/qiskit-aer,6e4b479700f04ccf1a421b819e88fc2218dcdbd3
dwavesystems/dwave-system,2b38b2707d3c74a6990ba4018fbbc9d1a347ff2b
Qiskit/qiskit-terra,c00602aadf4062b65ab3862fb729a85b20bf004b
aws/amazon-braket-sdk-python,3ddde05e03643a867c6b4266d835d00ea57c9d67
rigetti/pyquil,b6ef90d22065c0b9c87788477a04f8b38f56c2eb
dwavesystems/dwave-system,a39b47b1de3a1c85c39003551034721930e2c468
ProjectQ-Framework/ProjectQ,722104c40e9526e92a71a2161cb5f2d8757bcbfe
PennyLaneAI/pennylane,ef87a8cf35accfbb556fab13210288f9c46b358b
PennyLaneAI/pennylane,c9745b96717854aeba77ba9b43e8144115f63a28
dwavesystems/dwave-system,637a3c1823d608e24c04ee355ae43b2590388216
dwavesystems/dwave-system,841a9b8cb60640f2f0947378a3b6d6d5162c30c3
dwavesystems/dwave-system,13f601125007d0332edb312c8ba8beaba117ae0a
dwavesystems/dwave-system,21be9a868a156cb3d8f929285d67470331da8ad8
dwavesystems/dwave-system,95e63f1fef6b80f52683bbf32ce731ce285471e5
dwavesystems/dwave-system,fb385413870b0e324dc6324f89a19ee9e9f95eb6
dwavesystems/dwave-system,4ccce99e1aa493c0945cb4638f089d13406a8ba0
dwavesystems/dwave-system,14eb8b44140ac798abbb00fa38180afe2dd3eed3
dwavesystems/dwave-system,d25a8fc12a3eb76155f5309b7eac7e4103fd671c
dwavesystems/dwave-system,93d774631f42796cc1e31b50284774741e55462e
dwavesystems/dwave-system,c46ffdf97f677ecc2efb07171db15a12838d7ee6
dwavesystems/dwave-system,40e0fead1fd22b039103c07ac8173f6a174bad36
dwavesystems/dwave-system,aa24090dd20aaed2a7b22b17fef8f51fa553648a
dwavesystems/dwave-system,dcfe402f7c8e0ac221b5e063bca26399ca88a0ee
dwavesystems/dwave-system,a8e0b3b0e6a12941d224abfa389d463aafc127e9
dwavesystems/dwave-system,bc556e60be959d2b563ea3b03a4c18088b1d4ab3
dwavesystems/dwave-system,ead9ff3fecd661f53c0b823a5a23da1f2b55d984
dwavesystems/dwave-system,6156628a90a22e19eb47008a33b9d02c97053dcb
ProjectQ-Framework/ProjectQ,0e2113b64d616ec303bfff22a38af05a74583bbe
Qiskit/qiskit-aer,cf5d8027d5a70f45751f1369f548b65c666442e1
Qiskit/qiskit-aer,20c3b06c2464ce0342a920dfbe91c6a496707f7f
rigetti/pyquil,279a29b432a6c12d013b26201fc53410fca4f48d
microsoft/qsharp-runtime,37f2dbec543357b574140f94760e162635de893a
microsoft/qsharp-runtime,4a3eca470d79a0bb79e6beb270155f1d5bf3cc25
microsoft/qsharp-compiler,3ffd626b249f836369054cc1aa9e5d2f8aadfe0b
microsoft/qsharp-compiler,1af31ba43561e9cbfa99be70e633f6d39a4fa71e
QE-Lab/OpenQL,9a443a2ddd15349d2750edcf5b9cbbbef82e5929
xanaduai/strawberryfields,c7173f9052a1166bc1a205141033e98331cf0de9
microsoft/qsharp-compiler,4cfa49817b99a1fd6a9c74f0ff3b1e84a84ac74c
QE-Lab/OpenQL,39c9098df670306bb5a37c5006c7b9340252bef7
eclipse/xacc,e9abcf28135a2ffe0ede64b19050d5d9318588b7
microsoft/qsharp-compiler,ed60c81e5192cddd5f7342c08a1c00d392473127
eclipse/xacc,218711d975427b2622b6245b6e82baa1993a305f
rigetti/pyquil,b9f050c6e33a036c10d6f984c3f0b0f29836d2e0
quantumlib/Cirq,18c97b3fc3f776a830b25871aabc2b6b1255b301
quantumlib/Cirq,7c8c959e5e4b90f857cd1539279c51d30224033c
xanaduai/strawberryfields,dd7668c30c0e20730ea1d80cab91c7247e71af5f
qulacs/qulacs,0e6c4b22678effed137333d376474c06207114e4
eclipse/xacc,67720d046de88533304b0162e58d623017039134
eclipse/xacc,a890789807b1bc71f6c0369d05f70632f779289c
eclipse/xacc,60617daf7de9c76d7a713da3af776589ae3a533f
eclipse/xacc,f3e9b32a836299a739a38c9961e277a046b617f0
eclipse/xacc,25cd124b86842d9026819ca18f4cbb159ecc0cb7
eclipse/xacc,67e8264fcf7b3bfda8b0daf69fdbf9d9307b4ccb
eclipse/xacc,f820332d5488444cd3ce0e63d7742a8241d4011f
eclipse/xacc,0286c884d4583467fba9b09084cc8f53f6e3ce4c
eclipse/xacc,ed8c28ae427a490e7ffc322b61d934e68682fcc5
eclipse/xacc,2a3229b3e3f406adf07d861258c565a90e62241d
eclipse/xacc,681de66a6ae6bff747b8193dde0c8d333223a61d
eclipse/xacc,813d394964f8491fd0c43559399ea697bb542055
eclipse/xacc,3c4a3fd060b1bf16fc30f83ba385732a9e465c5b
eclipse/xacc,dddd38871dbd41c45d41e30974efb96644482261
eclipse/xacc,e37cca528dc031a9a1c141bdf22c9aaa0f466f66
eclipse/xacc,06b45e739268a9c6c156d99043e9e2a1a663ce63
eclipse/xacc,7340c42527c59ea6c65d5958b87eac22f2eac22d
eclipse/xacc,2ddcf545c515ea1e7f9f3248d6c4096e3aabd1bd
eclipse/xacc,591fc4759daa85d64acbb2f6e1760ed8a3c5722d
eclipse/xacc,c7132361b05c285f761ac03338abbf682c492b0c
eclipse/xacc,cb3db9b857b23d5f31fde2d1e6baa30ec037f758
eclipse/xacc,0fedbe6b00a601821a33517317d8a44bcbc0a57f
eclipse/xacc,cd36a21e8c264a4d75fa537b4c265fc702dd20fe
eclipse/xacc,52934dbd0d22bc74384b7f1505dc9f0264db5cea
eclipse/xacc,534a8a941790aa31e6f092cf784318300d71b9cb
eclipse/xacc,27cdd8090115aa67c217318c6fee631dc3058f93
eclipse/xacc,28028256b9a3616e82035a1dad9a89ee81b1a4d8
eclipse/xacc,899787f4e29d292cec7e5515a133d49a999d17b8
eclipse/xacc,5f95d57e7828d1d1c141179230e2b836d8cffc4c
eclipse/xacc,0d9017ccace3d4dc31c8849920e0b7ca797a05cb
eclipse/xacc,4a860d704f607b4067f631d3ab38cddb954b28b7
eclipse/xacc,0c99927a5eb9c36593515ee70a1a21abc7d37dae
eclipse/xacc,412f3e48068e5e07b40428dfb297805e8bd0210b
eclipse/xacc,350a79c5786e98b6c2a8a498c1f442d3f4851370
eclipse/xacc,2fe8a54c59c2ad0a04c507e86ee62945854b5676
eclipse/xacc,948d62d667e022b612924c43e5b86c6cb3fd0644
eclipse/xacc,813d4a5449344b950c645da85e6c7536bd2a8ffb
eclipse/xacc,85b9c773c2260274a42f43690063277c7d7314e4
eclipse/xacc,bf728b1217426ed48c8bec73e82aec2dc0f3fdcd
eclipse/xacc,6fc60e67bbdaa1b5f3241e39e508169d7aafb54e
Qiskit/qiskit-terra,103f6ffcee69b924417f59c0cc830815b6728387
eclipse/xacc,faa563a831f380141b840f561fc46145d038ac65
QE-Lab/OpenQL,0648b0e443d5645a27894f4a5ed7ec6cda0ffb85
microsoft/qsharp-compiler,bcc86744ed1eb5d885656d1e237e0047237cda52
microsoft/qsharp-compiler,b1c3ec68f4bfae42eaaa3e2026f077332cccfa04
microsoft/qsharp-compiler,c3d1a09f70960d09af68e805294962e7e6c690d8
qulacs/qulacs,2df908d4ea20bf47d0e07c18ed0a3ec7a5f17bf5
eclipse/xacc,9ca1673602ff7245c026954e536247d2bd0fa5f3
Qiskit/qiskit-aer,29c8ca5bccad8ec76c5d269c14832d7df4ae6e64
microsoft/qsharp-compiler,e5db058df44360c48f37e6ec7f43119561307ee6
microsoft/qsharp-compiler,2837183bf0c531da1b770ff5638d68787aac1c97
microsoft/qsharp-compiler,578d7f7f4e03f6671e913b77c4df21214502c4e6
eclipse/xacc,e980988e148243ed5d650317cad2870c6985f2ae
qulacs/qulacs,b5280ea22153bf0d8079f2fd59bb26c1eefcf9c3
qulacs/qulacs,93d44536cc8e58bc956cc64eccf27d0b61d68b9b
dwavesystems/dwave-system,ff44e1bbad1fce93a4685d65119e1b6d96cf23b2
microsoft/qsharp-compiler,8f6934840900380fd26e94f439316e46ea38d89c
qulacs/qulacs,e6b55618d0955136a19b16cdd37a4fe5ff893d8b
eclipse/xacc,2e07972790dccbdf911a0733a8686fd7c99304c3
microsoft/qsharp-compiler,8279e1f29afa84a5eaf4bbecee0fe569d06da107
microsoft/qsharp-compiler,a2db4496301755e8e727815691e108080f1d4682
microsoft/qsharp-compiler,c4c0c48c631a52f4043cc296f750df1930f55ae2
microsoft/qsharp-compiler,81e21494bb77d72b02371d2c85d126f7248df318
microsoft/qsharp-compiler,5bb2e051cf50db7638bb6c70624b8bd651ee261f
microsoft/qsharp-compiler,53e9f4fd3447093ddaabdd40216a4d3d12872bc9
microsoft/qsharp-compiler,7610e082da7a3c39d5ea622a6b5b532c4f1bf6de
microsoft/qsharp-compiler,d34caa084066e770de1f05f49986a2c283aea470
microsoft/qsharp-compiler,d7f5d3f80fc31ad43e039cb521a9b4d17f748140
microsoft/qsharp-compiler,a97f6efc885878b58d98f073b665a44494229fe6
microsoft/qsharp-compiler,919c0116b25e6f0627e64427f47408026abf3c88
microsoft/qsharp-compiler,da03122ad1265b1b0758c54b72083d50602acae3
microsoft/qsharp-compiler,1931dda410e168da6651dfbcbbce290c02bfe4d6
microsoft/qsharp-compiler,d9607b6d471687fe1cf9fd932865ece0202627fc
microsoft/qsharp-compiler,851a8e3f6029ed7ae7da4c04d4e361152ffa5279
microsoft/qsharp-compiler,2002c55a59808d44c2fec4f862c67b5848c27816
microsoft/qsharp-compiler,cbbbd73feb7705f36793e32f1ee6ab7093f7e8a1
microsoft/qsharp-compiler,5f32f602ed8d14cf8d2e4c245af10038d57bea36
microsoft/qsharp-compiler,acada6e1484ee81a52c8c4c773a61cd5bc04650d
microsoft/qsharp-compiler,8b224a725d153c74b7aa4943dab653836ad564d4
microsoft/qsharp-compiler,33f51bf6f493c480a78c899dd363bf426ef77ac2
microsoft/qsharp-compiler,287eca17c7edd3db6d47c008fc6a187ce397a089
microsoft/qsharp-compiler,d425eeb72415af43521cc9c705535ababe990201
microsoft/qsharp-compiler,9ac9bb3a43ebcdef13921d2b4334d9f0ced272a0
microsoft/qsharp-compiler,d5523ba56de9bd9c70b58f3d6975cb8f30d69a37
microsoft/qsharp-compiler,fdf743119192f3c4b4f28da5f7b4b04a5e00e567
microsoft/qsharp-compiler,650cd34bb3d5ea0dd02d5093d0f1eaf332c10f7e
microsoft/qsharp-compiler,d7b99d2d456aeafc06d62d570508c3ba80433512
microsoft/qsharp-compiler,c3a41b3979de9205c5c3ce590c6db100ef41beb8
microsoft/qsharp-compiler,865336f6fc31b8c53354e8970aae973e41180725
microsoft/qsharp-compiler,cf6905014518308175536a87d4e6ea89f6062695
microsoft/qsharp-compiler,f6c0715fb99a7326949020a397ab443e966710cc
microsoft/qsharp-compiler,aaf138f14230d3e4265b8ee72f0d5d526e66b60d
microsoft/qsharp-compiler,3f6a390fe5fbf674a4ab2735649acc6aef8a6a9f
microsoft/qsharp-compiler,b19fe1705020a253c4ad867f966648128c95c3be
microsoft/qsharp-compiler,9689a96fe3c77123a96b6ba79319e547623b8180
microsoft/qsharp-compiler,c4dedbacfe083777889dc768e3ad0d3d2c98f280
microsoft/qsharp-compiler,08ece453a487b377a54cfa758460197691cee917
microsoft/qsharp-compiler,2dbc92a886307e77961c972ba2a4cf2f74cc4915
microsoft/qsharp-compiler,effac38579d2b7b05bdc44ad7a6f3cfba475db27
microsoft/qsharp-compiler,bb0e8a47c013d66c4211af5c48c7bcaa093875cc
microsoft/qsharp-compiler,12346ff4a96dd8ba800b7029cff5297033eb01c9
microsoft/qsharp-compiler,aba0de271ee05ab815b21be7b8750535d0c4310b
microsoft/qsharp-compiler,45a1bc3e9c65abc117505f9f93e1bbf468e25654
microsoft/qsharp-compiler,deca80df6b451740154d31d57c493d6c66ec9514
microsoft/qsharp-compiler,2dda56a01d375c232b7b5982abec78ace24d9c98
microsoft/qsharp-compiler,d66df8ffb0065779ed63901deede190b0da366ba
microsoft/qsharp-compiler,d96b886a4096647bea57d97c6baac350df132993
microsoft/qsharp-compiler,3f172fca9fcbe5d7a4139212ca4e53204cb1c9e6
microsoft/qsharp-compiler,6d20b62f8822044974e3ae0027df910158454bd4
microsoft/qsharp-compiler,005da0650944bc678344643d038d1676ae264659
microsoft/qsharp-compiler,47fce24f420be04526258ef06f32eec53b2d4655
microsoft/qsharp-compiler,210f3d699c92a6db248943f0968c9c74880bf3a5
microsoft/qsharp-compiler,a571feacfa0e221fab5459bcdc3f8b87cd2ade9b
microsoft/qsharp-compiler,b8d2c54c4a5efa6fdcbc86bec978793cb1e6fec9
microsoft/qsharp-runtime,fb35f0fb3be372de089f100a326e0faa1bbb538a
microsoft/qsharp-runtime,edf6bdb1c295ffc816de64cbc24401067406751c
ProjectQ-Framework/ProjectQ,c15f3b25dd2efc426507360a19b6b1dded2ec37e
quantumlib/Cirq,51dc09663cc862b7a964aaab2c59952737a44b7b
rigetti/pyquil,92cb256530f4793fee007b6c1e8c9db4a22a1a7f
Qiskit/qiskit-ignis,ec1b4ce759f1fb8ba0242dd6c4a309fa1b586666
eclipse/xacc,c60662652b46f30b791aeef0ac0728d27d125ce6
Qiskit/qiskit-aer,e25aaaea83eaba1319cd0c770d47d1afd2156e0a
microsoft/qsharp-runtime,c245ecbc908adfa830c19be4dec5c50f58a07837
eclipse/xacc,31b22ebe4608f1a1dbe60c99870af30cd6e15092
ProjectQ-Framework/ProjectQ,11f45873e20c2fa78fab2b59b5b460ac5f595fc6
microsoft/qsharp-runtime,3c8a96eeec5e4cee33f0b376710327f02069e90e
microsoft/qsharp-compiler,34a8c0b0903005d5d9a89b67ef0deec65cb6f0fd
ProjectQ-Framework/ProjectQ,67ce24bd5d4aa06eb43c8e094c551c89567ef57d
aws/amazon-braket-sdk-python,74905c286284164d7a1e05c8c0775474dd093b9b
microsoft/qsharp-runtime,d020bab6a00a2d993729a5843ec5c1213c306324
PennyLaneAI/pennylane,ee9436ca19e40fa20fac83d1da3c4fd6571fb48c
microsoft/qsharp-runtime,fde97fd34e29741c4881b3fdcf16f9c7dd6ba6f0
microsoft/qsharp-runtime,b3a3349ea763eac05222619f7440674b3d45d292
ProjectQ-Framework/ProjectQ,88e2f1823748a82d1f3ad5e877b3a9b1f2aa43ad
microsoft/qsharp-runtime,bbd28a3437a1aab1515bb0d10fe1004473e3e038
microsoft/qsharp-runtime,4701a9e80b8c7b96ac76510d8b6c993f14da6ce5
microsoft/qsharp-runtime,29c7a101c1c874d53a4e1cd046a944f87f7bf0d3
microsoft/qsharp-runtime,bdc5927656901999266058d2ac45446de117913b
microsoft/qsharp-runtime,2aab3353991fcd3b803da6313b476dd1a9578b85
microsoft/qsharp-runtime,11998e953291cec4aae62ccc2cc6c59bf960fdb8
microsoft/qsharp-runtime,b69e9a9e7adf3bd2b856ab2f64fc9dc15bb097be
microsoft/qsharp-runtime,613ff5d2a5b20fa538fb2188148b07fa7f71d703
microsoft/qsharp-runtime,47c32db5e36e84aa9142be7ec292857ffdeb8bea
